"Type","Theme","File","Name","Color","Legend","Labels","Unit","Visible","Provenance","Description","Notes"
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1005445 Current.tif","Tree: Speckled Alder","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1005617 Current.tif","Tree: Plains Cottonwood","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1006442 Current.tif","Tree: Geyer's Willow","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1006453 Current.tif","Tree: Black Cottonwood","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1006464 Current.tif","Tree: Greene's Mountain Ash","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1006584 Current.tif","Tree: Narrow-cone Pine","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1006593 Current.tif","Tree: Bigtooth Maple","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1006599 Current.tif","Tree: Carolina Ash","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1006602 Current.tif","Tree: California Juniper","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1006639 Current.tif","Tree: Gambel Oak","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1006642 Current.tif","Tree: Scrub Oak","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1006652 Current.tif","Tree: New Mexico Locust","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1006655 Current.tif","Tree: Curl-leaf Mountain-mahogany","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Specie Distribution 1011212 Current.tif","Tree: Southern Wild Raisin","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Species Distribution 1000004 Current.tif","Tree: Pacific Silver Fir","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Species Distribution 1000005 Current.tif","Tree: Balsam fir","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Species Distribution 1000008 Current.tif","Tree: White Fir","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Species Distribution 1000011 Current.tif","Tree: Grand Fir","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Species Distribution 1000014 Current.tif","Tree: Subalpine Fir","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Species Distribution 1000018 Current.tif","Tree: Noble Fir","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Species Distribution 1000028 Current.tif","Tree: Western Mountain Maple","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Species Distribution 1000037 Current.tif","Tree: Bigleaf Maple","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Species Distribution 1000040 Current.tif","Tree: Manitoba Maple","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Species Distribution 1000045 Current.tif","Tree: Striped Maple","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Species Distribution 1000050 Current.tif","Tree: Red Maple","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Species Distribution 1000052 Current.tif","Tree: Silver Maple","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Species Distribution 1000053 Current.tif","Tree: Sugar Maple","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Species Distribution 1000056 Current.tif","Tree: Mountain Maple","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Species Distribution 1000091 Current.tif","Tree: Western Mountain Alder","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Species Distribution 1000096 Current.tif","Tree: White Alder","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Species Distribution 1000097 Current.tif","Tree: Red Alder","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Species Distribution 1000099 Current.tif","Tree: Smooth Alder","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Species Distribution 1000100 Current.tif","Tree: Sitka Alder","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Species Distribution 1000104 Current.tif","Tree: Saskatoonberry","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Species Distribution 1000105 Current.tif","Tree: Downy Serviceberry","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Species Distribution 1000112 Current.tif","Tree: Roundleaf Serviceberry","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Species Distribution 1000126 Current.tif","Tree: Prickly Ash","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Species Distribution 1000172 Current.tif","Tree: Arctic Dwarf Birch","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Species Distribution 1000176 Current.tif","Tree: White Birch","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Species Distribution 1000262 Current.tif","Tree: Common Buttonbush","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Species Distribution 1000310 Current.tif","Tree: Alternateleaf Dogwood","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Species Distribution 1000324 Current.tif","Tree: Mountain Dogwood","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Species Distribution 1000329 Current.tif","Tree: Red Osier Dogwood","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Species Distribution 1000363 Current.tif","Tree: Fireberry Hawthorn","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Species Distribution 1000368 Current.tif","Tree: Douglas' Hawthorn","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Species Distribution 1000385 Current.tif","Tree: Fleshy Hawthorn","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Species Distribution 1000468 Current.tif","Tree: American Beech","Greens","continuous","","km2*","FALSE","missing","",""
"theme","Current patterns of biodiversity","yale_1/Trees/Tree Species Distribution 1000486 Current.tif","Tree: White Ash","Greens","continuous","","km2*","FALSE","missing","",""
