Type,Theme,File,Name,Color,Legend,Labels,Unit,Visible,Status,Provenance,Description,Notes
theme,Future climate space,yale_4/Birds/Bird Species Distribution PISI rcp45 2071-2100.tif,Bird future: Pine Siskin,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution PIWO rcp45 2071-2100.tif,Bird future: Pileated Woodpecker,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution PSFL rcp45 2071-2100.tif,Bird future: Pacific-slope Flycatcher,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution PUFI rcp45 2071-2100.tif,Bird future: Purple Finch,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution PUMA rcp45 2071-2100.tif,Bird future: Purple Martin,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution PYNU rcp45 2071-2100.tif,Bird future: Pygmy Nuthatch,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution RBGR rcp45 2071-2100.tif,Bird future: Rose-breasted Grosbeak,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution RBNU rcp45 2071-2100.tif,Bird future: Red-breasted Nuthatch,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution RBSA rcp45 2071-2100.tif,Bird future: Red-breasted Sapsucker,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution RCKI rcp45 2071-2100.tif,Bird future: Ruby-crowned Kinglet,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution RECR rcp45 2071-2100.tif,Bird future: Red Crossbill,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution REDH rcp45 2071-2100.tif,Bird future: Redhead,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution REVI rcp45 2071-2100.tif,Bird future: Red-eyed Vireo,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution RNDU rcp45 2071-2100.tif,Bird future: Ring-necked Duck,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution RNGR rcp45 2071-2100.tif,Bird future: Red-necked Grebe,Blues,continuous,,km2*,FALSE,TRUE,missing,,
theme,Future climate space,yale_4/Birds/Bird Species Distribution RNPH rcp45 2071-2100.tif,Bird future: Ring-necked Pheasant,Blues,continuous,,km2*,FALSE,TRUE,missing,,
